ano,estado,total_focos
1998,Acre,732
1998,Alagoas,86
1998,Amapá,277
1998,Amazonas,941
1998,Bahia,5907
1998,Ceará,2644
1998,Distrito Federal,101
1998,Espírito Santo,220
1998,Goiás,6867
1998,Maranhão,14235
1998,Mato Grosso,34638
1998,Mato Grosso do Sul,2111
1998,Minas Gerais,4299
1998,Pará,20287
1998,Paraíba,334
1998,Paraná,484
1998,Pernambuco,765
1998,Piauí,6064
1998,Rio de Janeiro,102
1998,Rio Grande do Norte,172
1998,Rio Grande do Sul,871
1998,Rondônia,6925
1998,Roraima,21
1998,Santa Catarina,59
1998,São Paulo,3194
1998,Sergipe,20
1998,Tocantins,11540
1999,Acre,347
1999,Alagoas,171
1999,Amapá,101
1999,Amazonas,1048
1999,Bahia,3774
1999,Ceará,1708
1999,Distrito Federal,45
1999,Espírito Santo,240
1999,Goiás,5005
1999,Maranhão,8712
1999,Mato Grosso,44307
1999,Mato Grosso do Sul,13017
1999,Minas Gerais,6235
1999,Pará,20478
1999,Paraíba,179
1999,Paraná,3257
1999,Pernambuco,449
1999,Piauí,3459
1999,Rio de Janeiro,357
1999,Rio Grande do Norte,287
1999,Rio Grande do Sul,1492
1999,Rondônia,7122
1999,Roraima,220
1999,Santa Catarina,364
1999,São Paulo,5458
1999,Sergipe,93
1999,Tocantins,6687
2000,Acre,430
2000,Alagoas,123
2000,Amapá,253
2000,Amazonas,857
2000,Bahia,6998
2000,Ceará,2224
2000,Distrito Federal,47
2000,Espírito Santo,175
2000,Goiás,3810
2000,Maranhão,8983
2000,Mato Grosso,26056
2000,Mato Grosso do Sul,3073
2000,Minas Gerais,4525
2000,Pará,18201
2000,Paraíba,260
2000,Paraná,2543
2000,Pernambuco,692
2000,Piauí,4760
2000,Rio de Janeiro,121
2000,Rio Grande do Norte,145
2000,Rio Grande do Sul,384
2000,Rondônia,5505
2000,Roraima,362
2000,Santa Catarina,305
2000,São Paulo,4127
2000,Sergipe,17
2000,Tocantins,6554
2001,Acre,829
2001,Alagoas,86
2001,Amapá,1300
2001,Amazonas,1297
2001,Bahia,8062
2001,Ceará,6368
2001,Distrito Federal,65
2001,Espírito Santo,131
2001,Goiás,3919
2001,Maranhão,18696
2001,Mato Grosso,33013
2001,Mato Grosso do Sul,6046
2001,Minas Gerais,3733
2001,Pará,28590
2001,Paraíba,806
2001,Paraná,1270
2001,Pernambuco,1067
2001,Piauí,9620
2001,Rio de Janeiro,305
2001,Rio Grande do Norte,296
2001,Rio Grande do Sul,249
2001,Rondônia,5066
2001,Roraima,2415
2001,Santa Catarina,201
2001,São Paulo,2913
2001,Sergipe,24
2001,Tocantins,9117
2002,Acre,6739
2002,Alagoas,291
2002,Amapá,2664
2002,Amazonas,8395
2002,Bahia,18048
2002,Ceará,8177
2002,Distrito Federal,161
2002,Espírito Santo,402
2002,Goiás,9379
2002,Maranhão,30464
2002,Mato Grosso,69126
2002,Mato Grosso do Sul,14543
2002,Minas Gerais,12831
2002,Pará,60238
2002,Paraíba,818
2002,Paraná,7350
2002,Pernambuco,1985
2002,Piauí,11143
2002,Rio de Janeiro,774
2002,Rio Grande do Norte,831
2002,Rio Grande do Sul,3361
2002,Rondônia,28691
2002,Roraima,2466
2002,Santa Catarina,3595
2002,São Paulo,4152
2002,Sergipe,245
2002,Tocantins,14547
2003,Acre,10523
2003,Alagoas,373
2003,Amapá,2516
2003,Amazonas,10191
2003,Bahia,19584
2003,Ceará,11626
2003,Distrito Federal,161
2003,Espírito Santo,976
2003,Goiás,6874
2003,Maranhão,34548
2003,Mato Grosso,70560
